epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.971,0.84715,0.88699,1.29376,0.81733,0.72179,0.80458,0.58209,0.90903,0.78722,1.30882,0.00333117,0.00333117,0.00333117
2,621.491,0.85661,0.91467,1.28769,0.803,0.69363,0.78236,0.55991,0.92627,0.84251,1.33809,0.00653255,0.00653255,0.00653255
3,920.821,0.8966,1.00787,1.31602,0.76139,0.64771,0.72891,0.51001,1.00126,0.96711,1.39079,0.00960192,0.00960192,0.00960192
4,1218.38,0.93062,1.10755,1.34392,0.75618,0.62547,0.70546,0.49028,0.99957,1.03764,1.41352,0.009406,0.009406,0.009406
5,1516.29,0.93577,1.11898,1.34702,0.75322,0.62234,0.71014,0.49685,1.00309,1.00507,1.40545,0.009208,0.009208,0.009208
6,1831.04,0.92776,1.10525,1.34313,0.75688,0.63408,0.71794,0.50058,0.99,0.99206,1.39411,0.00901,0.00901,0.00901
7,2136.76,0.92719,1.09556,1.33743,0.74033,0.6363,0.71761,0.50425,0.97129,0.96628,1.36006,0.008812,0.008812,0.008812
8,2453.3,0.91636,1.08049,1.33575,0.76927,0.64045,0.72911,0.51453,0.97169,0.96085,1.36094,0.008614,0.008614,0.008614
9,2828.46,0.90524,1.06348,1.32644,0.76115,0.67102,0.74325,0.52798,0.94981,0.91757,1.34351,0.008416,0.008416,0.008416
10,3218.35,0.90012,1.05231,1.32189,0.76639,0.66347,0.74027,0.52711,0.94895,0.92888,1.3421,0.008218,0.008218,0.008218
11,3598.76,0.90317,1.04084,1.32011,0.79741,0.65986,0.74834,0.53795,0.93055,0.88377,1.31969,0.00802,0.00802,0.00802
12,4013.32,0.90222,1.04004,1.31917,0.79715,0.6647,0.7494,0.53897,0.93424,0.8858,1.32024,0.007822,0.007822,0.007822
13,4441.89,0.89843,1.02815,1.31638,0.7845,0.6719,0.75927,0.54189,0.92937,0.86891,1.31491,0.007624,0.007624,0.007624
