feature,mean,std
mean_intensity,118.984871,22.110031
std_intensity,47.522015,10.542481
p10_intensity,58.469971,24.494083
p50_intensity,116.32132,25.923811
p90_intensity,183.67717,26.805998
grad_mean,161.994781,41.107258
grad_std,120.866623,25.098972
edge_density,0.317493,0.057546
fft_bin_1,0.509487,0.14341
fft_bin_2,0.213616,0.052538
fft_bin_3,0.112543,0.038853
fft_bin_4,0.07343,0.029261
fft_bin_5,0.048249,0.02189
fft_bin_6,0.032647,0.016079
fft_bin_7,0.00821,0.005327
fft_bin_8,0.001805,0.001268
high_freq_energy,0.090911,0.043613
hsv_h_hist_1,0.056036,0.051877
hsv_h_hist_2,0.09141,0.064009
hsv_h_hist_3,0.038806,0.036918
hsv_h_hist_4,0.021892,0.033821
hsv_h_hist_5,0.011915,0.019611
hsv_h_hist_6,0.007012,0.014976
hsv_h_hist_7,0.006847,0.010811
hsv_h_hist_8,0.006317,0.010236
hsv_h_hist_9,0.016965,0.022655
hsv_h_hist_10,0.027801,0.034899
hsv_h_hist_11,0.013267,0.016289
hsv_h_hist_12,0.00648,0.010086
hsv_h_hist_13,0.005006,0.00716
hsv_h_hist_14,0.004175,0.005765
hsv_h_hist_15,0.006786,0.009983
hsv_h_hist_16,0.012617,0.017428
hsv_s_hist_1,0.124485,0.073019
hsv_s_hist_2,0.08984,0.039028
hsv_s_hist_3,0.055478,0.030606
hsv_s_hist_4,0.032561,0.030352
hsv_s_hist_5,0.017451,0.020931
hsv_s_hist_6,0.008645,0.016978
hsv_s_hist_7,0.003527,0.009139
hsv_s_hist_8,0.001346,0.003695
hsv_v_hist_1,0.010747,0.015758
hsv_v_hist_2,0.031015,0.024914
hsv_v_hist_3,0.051943,0.0269
hsv_v_hist_4,0.068979,0.028837
hsv_v_hist_5,0.068238,0.031172
hsv_v_hist_6,0.051297,0.027768
hsv_v_hist_7,0.032062,0.023629
hsv_v_hist_8,0.019052,0.021547
b_mean,108.305458,23.256449
g_mean,118.578545,22.346432
r_mean,123.850128,24.327166
b_std,49.740761,11.21719
g_std,47.98711,10.735161
r_std,49.279491,10.861904
h_mean,52.22596,22.480619
s_mean,57.128113,26.1579
v_mean,130.54953,23.244471
h_std,42.24979,15.02668
s_std,36.873741,11.916918
v_std,49.421787,10.899413
hog_1,0.143695,0.06573
hog_2,0.128897,0.06143
hog_3,0.127479,0.0646
hog_4,0.125542,0.063345
hog_5,0.142391,0.065706
hog_6,0.116404,0.061371
hog_7,0.114831,0.06236
hog_8,0.121569,0.067886
hog_9,0.142809,0.070242
hog_10,0.160138,0.06585
hog_11,0.156411,0.061036
hog_12,0.158268,0.0642
hog_13,0.15432,0.064201
hog_14,0.166643,0.069477
hog_15,0.144193,0.066612
hog_16,0.136226,0.063731
hog_17,0.135763,0.063849
hog_18,0.151977,0.067385
hog_19,0.166754,0.06626
hog_20,0.15479,0.063677
hog_21,0.150579,0.065131
hog_22,0.149349,0.066903
hog_23,0.15482,0.065958
hog_24,0.141854,0.064878
hog_25,0.138786,0.064683
hog_26,0.145456,0.067654
hog_27,0.164145,0.068843
hog_28,0.182666,0.063743
hog_29,0.180995,0.063777
hog_30,0.178287,0.064355
hog_31,0.173481,0.064001
hog_32,0.178213,0.071792
hog_33,0.16727,0.063437
hog_34,0.162133,0.064578
hog_35,0.166251,0.064364
hog_36,0.179269,0.066247
hog_37,0.144616,0.063541
hog_38,0.14077,0.060991
hog_39,0.140567,0.061332
hog_40,0.134298,0.060806
hog_41,0.149351,0.063766
hog_42,0.126914,0.058783
hog_43,0.12332,0.062604
hog_44,0.129342,0.061669
