feature,mean,std
mean_intensity,116.315781,47.191036
std_intensity,27.669987,16.391102
p10_intensity,81.511482,49.049362
p50_intensity,116.005104,50.288898
p90_intensity,152.031891,52.878712
grad_mean,66.183762,50.816544
grad_std,55.932419,37.889828
edge_density,0.138812,0.131301
fft_bin_1,0.690128,0.220591
fft_bin_2,0.156048,0.095908
fft_bin_3,0.066055,0.059622
fft_bin_4,0.039885,0.040251
fft_bin_5,0.026427,0.030299
fft_bin_6,0.017135,0.02326
fft_bin_7,0.003524,0.007306
fft_bin_8,0.000792,0.001805
high_freq_energy,0.047878,0.061391
hsv_h_hist_1,0.068652,0.091623
hsv_h_hist_2,0.165721,0.123911
hsv_h_hist_3,0.022814,0.044113
hsv_h_hist_4,0.009307,0.027565
hsv_h_hist_5,0.012071,0.03956
hsv_h_hist_6,0.004329,0.013721
hsv_h_hist_7,0.005409,0.025861
hsv_h_hist_8,0.002529,0.01379
hsv_h_hist_9,0.005333,0.02478
hsv_h_hist_10,0.009967,0.040602
hsv_h_hist_11,0.005152,0.022212
hsv_h_hist_12,0.00171,0.006896
hsv_h_hist_13,0.001852,0.008338
hsv_h_hist_14,0.002185,0.013913
hsv_h_hist_15,0.004485,0.018144
hsv_h_hist_16,0.011819,0.042926
hsv_s_hist_1,0.070409,0.107143
hsv_s_hist_2,0.081682,0.098932
hsv_s_hist_3,0.062973,0.07619
hsv_s_hist_4,0.047847,0.06686
hsv_s_hist_5,0.035602,0.062189
hsv_s_hist_6,0.020298,0.041972
hsv_s_hist_7,0.009208,0.025387
hsv_s_hist_8,0.005315,0.017622
hsv_v_hist_1,0.015249,0.04825
hsv_v_hist_2,0.036308,0.063575
hsv_v_hist_3,0.047018,0.063035
hsv_v_hist_4,0.057552,0.064904
hsv_v_hist_5,0.064039,0.073574
hsv_v_hist_6,0.047241,0.062607
hsv_v_hist_7,0.033793,0.058266
hsv_v_hist_8,0.032134,0.068664
b_mean,96.425034,45.533443
g_mean,113.134483,46.807663
r_mean,130.107162,52.666924
b_std,26.119965,16.385153
g_std,27.997147,16.872925
r_std,28.956894,17.635771
h_mean,34.172665,33.217545
s_mean,81.339172,47.905781
v_mean,133.187164,51.82016
h_std,16.836432,21.161572
s_std,23.384472,16.396599
v_std,29.050934,17.437199
hog_1,0.140973,0.087023
hog_2,0.111636,0.077086
hog_3,0.119895,0.078016
hog_4,0.121648,0.085442
hog_5,0.168784,0.093919
hog_6,0.122934,0.084876
hog_7,0.1178,0.078932
hog_8,0.113023,0.077978
hog_9,0.13896,0.086691
hog_10,0.148034,0.088738
hog_11,0.126748,0.077135
hog_12,0.134551,0.082255
hog_13,0.136867,0.089519
hog_14,0.183485,0.091397
hog_15,0.134243,0.08715
hog_16,0.127949,0.081443
hog_17,0.12587,0.0819
hog_18,0.145478,0.087837
hog_19,0.159537,0.086063
hog_20,0.129409,0.080911
hog_21,0.135545,0.081936
hog_22,0.134024,0.089312
hog_23,0.171709,0.096639
hog_24,0.135398,0.086876
hog_25,0.130364,0.07762
hog_26,0.127972,0.07939
hog_27,0.156066,0.088688
hog_28,0.167688,0.090235
hog_29,0.144372,0.08429
hog_30,0.149189,0.086372
hog_31,0.148542,0.089797
hog_32,0.183326,0.097497
hog_33,0.145271,0.091325
hog_34,0.142749,0.079276
hog_35,0.144078,0.081766
hog_36,0.163935,0.089664
hog_37,0.136829,0.089166
hog_38,0.118923,0.081059
hog_39,0.123047,0.082721
hog_40,0.121931,0.08416
hog_41,0.169235,0.097311
hog_42,0.118556,0.088228
hog_43,0.108603,0.077439
hog_44,0.109031,0.077298
hog_45,0.131399,0.085956
hog_46,0.149567,0.0895
hog_47,0.130595,0.084706
hog_48,0.139144,0.086063
hog_49,0.136657,0.091608
hog_50,0.181074,0.094146
hog_51,0.126165,0.088705
hog_52,0.118228,0.079646
hog_53,0.120717,0.081673
hog_54,0.147588,0.091748
hog_55,0.149984,0.090559
hog_56,0.133803,0.086954
hog_57,0.139,0.085401
hog_58,0.14186,0.089728
hog_59,0.178931,0.097327
hog_60,0.135107,0.090851
hog_61,0.129524,0.083784
hog_62,0.124159,0.08344
hog_63,0.149041,0.091618
hog_64,0.165482,0.092493
hog_65,0.140972,0.082903
hog_66,0.14894,0.086115
hog_67,0.14925,0.091202
hog_68,0.185517,0.097236
hog_69,0.140602,0.089487
hog_70,0.138029,0.081512
hog_71,0.137703,0.085615
hog_72,0.163045,0.093188
hog_73,0.13511,0.086995
hog_74,0.114712,0.078269
hog_75,0.118906,0.079718
hog_76,0.123956,0.086208
hog_77,0.173973,0.095602
hog_78,0.118348,0.083016
hog_79,0.113449,0.075998
hog_80,0.112722,0.079689
hog_81,0.136271,0.09187
hog_82,0.146793,0.087605
hog_83,0.130828,0.081243
hog_84,0.137801,0.08543
hog_85,0.135904,0.086065
hog_86,0.185085,0.094673
hog_87,0.131314,0.086059
hog_88,0.127015,0.080803
hog_89,0.124423,0.082614
hog_90,0.144478,0.089785
hog_91,0.150844,0.087557
hog_92,0.131408,0.082123
hog_93,0.136852,0.082743
hog_94,0.139741,0.090429
hog_95,0.178372,0.096893
hog_96,0.132814,0.087628
hog_97,0.125751,0.075643
hog_98,0.123824,0.079372
hog_99,0.15251,0.092205
hog_100,0.165759,0.091474
hog_101,0.1431,0.082743
hog_102,0.151563,0.086614
hog_103,0.150761,0.091971
hog_104,0.189987,0.095526
hog_105,0.147483,0.090043
hog_106,0.13938,0.080754
hog_107,0.137621,0.082251
hog_108,0.16715,0.091291
hog_109,0.134582,0.088375
hog_110,0.117899,0.080929
hog_111,0.117645,0.082647
hog_112,0.121413,0.083738
hog_113,0.180609,0.0977
hog_114,0.125046,0.085018
hog_115,0.115161,0.075799
hog_116,0.114324,0.081376
hog_117,0.131262,0.088218
hog_118,0.158421,0.08771
hog_119,0.129072,0.080759
hog_120,0.127084,0.079317
hog_121,0.136083,0.08784
hog_122,0.192486,0.099366
hog_123,0.132484,0.089206
hog_124,0.121525,0.073998
hog_125,0.121142,0.08056
hog_126,0.153616,0.087486
hog_127,0.148871,0.090196
hog_128,0.128523,0.080863
hog_129,0.131011,0.081139
hog_130,0.132702,0.083924
hog_131,0.179613,0.099415
hog_132,0.136912,0.086544
hog_133,0.134125,0.081475
hog_134,0.125221,0.079503
hog_135,0.146957,0.089812
hog_136,0.169264,0.088133
hog_137,0.145245,0.085485
hog_138,0.145593,0.082684
hog_139,0.145836,0.087439
hog_140,0.192304,0.102097
hog_141,0.145202,0.088901
hog_142,0.137634,0.078735
hog_143,0.132702,0.079799
hog_144,0.169334,0.087233
hog_145,0.149909,0.089299
hog_146,0.120967,0.075139
hog_147,0.120863,0.076949
hog_148,0.12075,0.08383
hog_149,0.160798,0.098274
hog_150,0.119772,0.080351
hog_151,0.109839,0.07146
hog_152,0.112617,0.074056
hog_153,0.145373,0.085215
hog_154,0.156606,0.092576
hog_155,0.133018,0.079954
hog_156,0.134667,0.081181
hog_157,0.136196,0.085579
hog_158,0.17652,0.099421
hog_159,0.138458,0.089895
hog_160,0.13118,0.079146
hog_161,0.128586,0.081103
hog_162,0.149766,0.088338
hog_163,0.159459,0.090118
hog_164,0.128602,0.076406
hog_165,0.132223,0.079854
hog_166,0.130381,0.086732
hog_167,0.172782,0.09768
hog_168,0.130435,0.081685
hog_169,0.121517,0.077194
hog_170,0.121573,0.079643
hog_171,0.159555,0.090036
hog_172,0.16411,0.093544
hog_173,0.139651,0.082606
hog_174,0.146567,0.084202
hog_175,0.151487,0.090322
hog_176,0.193058,0.095429
