feature,mean,std
mean_intensity,171.446167,14.038908
std_intensity,46.39394,16.950981
p10_intensity,99.000999,39.400341
p50_intensity,185.666672,20.113361
p90_intensity,216.065872,16.111351
grad_mean,53.310871,20.753901
grad_std,87.736748,30.568283
edge_density,0.088325,0.045537
fft_bin_1,0.8642,0.055831
fft_bin_2,0.078483,0.030341
fft_bin_3,0.026508,0.013534
fft_bin_4,0.014951,0.008289
fft_bin_5,0.009162,0.005002
fft_bin_6,0.005535,0.003292
fft_bin_7,0.000949,0.000878
fft_bin_8,0.000211,0.00025
high_freq_energy,0.015856,0.00899
hsv_h_hist_1,0.022914,0.034612
hsv_h_hist_2,0.155319,0.130299
hsv_h_hist_3,0.025169,0.032208
hsv_h_hist_4,0.008625,0.017507
hsv_h_hist_5,0.003374,0.00769
hsv_h_hist_6,0.004195,0.015183
hsv_h_hist_7,0.003866,0.008603
hsv_h_hist_8,0.002936,0.009923
hsv_h_hist_9,0.007266,0.016992
hsv_h_hist_10,0.020444,0.037911
hsv_h_hist_11,0.072153,0.096014
hsv_h_hist_12,0.002001,0.005497
hsv_h_hist_13,0.000592,0.001479
hsv_h_hist_14,0.000408,0.000995
hsv_h_hist_15,0.001179,0.003955
hsv_h_hist_16,0.002891,0.007961
hsv_s_hist_1,0.182873,0.112057
hsv_s_hist_2,0.103704,0.097668
hsv_s_hist_3,0.020656,0.030232
hsv_s_hist_4,0.009155,0.01329
hsv_s_hist_5,0.006048,0.008374
hsv_s_hist_6,0.00444,0.006444
hsv_s_hist_7,0.003685,0.006919
hsv_s_hist_8,0.002773,0.00718
hsv_v_hist_1,0.004739,0.009009
hsv_v_hist_2,0.00978,0.015434
hsv_v_hist_3,0.011139,0.010871
hsv_v_hist_4,0.020438,0.014266
hsv_v_hist_5,0.044131,0.042166
hsv_v_hist_6,0.065344,0.046807
hsv_v_hist_7,0.095426,0.052936
hsv_v_hist_8,0.082336,0.052963
b_mean,163.099014,20.833145
g_mean,170.519348,14.283354
r_mean,176.376923,15.052979
b_std,50.572498,19.247696
g_std,45.918705,17.02309
r_std,46.682518,17.515493
h_mean,51.138142,38.683399
s_mean,40.829994,18.854296
v_mean,182.494461,13.548811
h_std,20.038044,15.995421
s_std,29.729952,19.331455
v_std,46.522224,17.147537
hog_1,0.174544,0.097254
hog_2,0.109149,0.089958
hog_3,0.133892,0.088615
hog_4,0.055361,0.085929
hog_5,0.160353,0.094463
hog_6,0.035336,0.058044
hog_7,0.095922,0.07797
hog_8,0.076585,0.080991
hog_9,0.170221,0.096749
hog_10,0.183249,0.091676
hog_11,0.117841,0.090574
hog_12,0.157458,0.0964
hog_13,0.066015,0.098131
hog_14,0.182991,0.104957
hog_15,0.041885,0.070894
hog_16,0.1147,0.087979
hog_17,0.083647,0.082072
hog_18,0.176365,0.091984
hog_19,0.180671,0.097246
hog_20,0.110956,0.09156
hog_21,0.148586,0.094403
hog_22,0.062342,0.088928
hog_23,0.180105,0.099205
hog_24,0.044817,0.070506
hog_25,0.11426,0.089798
hog_26,0.086078,0.087199
hog_27,0.177343,0.09958
hog_28,0.212212,0.102726
hog_29,0.153811,0.117434
hog_30,0.188493,0.115591
hog_31,0.090093,0.116029
hog_32,0.196408,0.107933
hog_33,0.058497,0.087757
hog_34,0.132529,0.095917
hog_35,0.107812,0.098983
hog_36,0.204646,0.10321
hog_37,0.155692,0.100913
hog_38,0.088105,0.079894
hog_39,0.110597,0.094023
hog_40,0.051143,0.085554
hog_41,0.12032,0.10541
hog_42,0.03023,0.060223
hog_43,0.076588,0.083045
hog_44,0.063165,0.072669
hog_45,0.148893,0.104365
hog_46,0.184539,0.102806
hog_47,0.101914,0.091922
hog_48,0.118845,0.101734
hog_49,0.064335,0.101597
hog_50,0.133512,0.116597
hog_51,0.038948,0.06854
hog_52,0.093818,0.090411
hog_53,0.082313,0.081452
hog_54,0.1767,0.105111
hog_55,0.212041,0.118927
hog_56,0.150034,0.112902
hog_57,0.156354,0.107201
hog_58,0.075605,0.095286
hog_59,0.136686,0.11118
hog_60,0.048819,0.074543
hog_61,0.098757,0.098993
hog_62,0.093816,0.0983
hog_63,0.195236,0.116897
hog_64,0.238145,0.116216
hog_65,0.16526,0.12284
hog_66,0.167255,0.120135
hog_67,0.095313,0.117574
hog_68,0.153262,0.121615
hog_69,0.065511,0.088866
hog_70,0.123735,0.102089
hog_71,0.119324,0.103361
hog_72,0.229,0.11816
hog_73,0.157159,0.09315
hog_74,0.08395,0.085178
hog_75,0.089399,0.087052
hog_76,0.049382,0.078999
hog_77,0.125841,0.108274
hog_78,0.049665,0.08214
hog_79,0.099874,0.088722
hog_80,0.090903,0.082301
hog_81,0.155013,0.09694
hog_82,0.165259,0.100438
hog_83,0.092687,0.096514
hog_84,0.096431,0.08885
hog_85,0.046315,0.07257
hog_86,0.135256,0.106972
hog_87,0.049264,0.077534
hog_88,0.104886,0.088762
hog_89,0.089114,0.081335
hog_90,0.15754,0.095384
hog_91,0.22027,0.118321
hog_92,0.132616,0.110279
hog_93,0.131287,0.102998
hog_94,0.074812,0.09648
hog_95,0.136592,0.117858
hog_96,0.08192,0.11433
hog_97,0.144827,0.124033
hog_98,0.149971,0.126997
hog_99,0.217302,0.123869
hog_100,0.216363,0.119956
hog_101,0.139081,0.120275
hog_102,0.135248,0.109306
hog_103,0.069049,0.088705
hog_104,0.13777,0.107618
hog_105,0.07271,0.089488
hog_106,0.145827,0.10902
hog_107,0.147943,0.116718
hog_108,0.216555,0.118972
hog_109,0.147689,0.092214
hog_110,0.083133,0.087161
hog_111,0.110539,0.089636
hog_112,0.049098,0.076151
hog_113,0.176822,0.116007
hog_114,0.054737,0.079232
hog_115,0.125144,0.100584
hog_116,0.102318,0.096259
hog_117,0.156601,0.093741
hog_118,0.163135,0.09738
hog_119,0.087529,0.086721
hog_120,0.127756,0.099494
hog_121,0.05356,0.080066
hog_122,0.180828,0.114255
hog_123,0.060466,0.081408
hog_124,0.128939,0.099224
hog_125,0.105299,0.100432
hog_126,0.167741,0.100163
hog_127,0.188041,0.106847
hog_128,0.106316,0.094544
hog_129,0.133888,0.100693
hog_130,0.063611,0.090217
hog_131,0.183295,0.121691
hog_132,0.076466,0.103066
hog_133,0.153352,0.110907
hog_134,0.130033,0.106623
hog_135,0.194011,0.105447
hog_136,0.190102,0.105831
hog_137,0.100165,0.095515
hog_138,0.128444,0.101209
hog_139,0.062283,0.088004
hog_140,0.182288,0.116902
hog_141,0.071029,0.089184
hog_142,0.158354,0.107676
hog_143,0.12217,0.099603
hog_144,0.193904,0.106288
hog_145,0.134473,0.104427
hog_146,0.101917,0.094657
hog_147,0.119047,0.099227
hog_148,0.065544,0.077312
hog_149,0.117537,0.110811
hog_150,0.0477,0.07569
hog_151,0.076456,0.09014
hog_152,0.070675,0.090407
hog_153,0.128174,0.104644
hog_154,0.166904,0.105543
hog_155,0.136802,0.10397
hog_156,0.151429,0.117667
hog_157,0.102822,0.115599
hog_158,0.149358,0.133467
hog_159,0.074592,0.107277
hog_160,0.097749,0.105183
hog_161,0.096662,0.102962
hog_162,0.159199,0.106929
hog_163,0.149707,0.116494
hog_164,0.119943,0.107169
hog_165,0.141889,0.107974
hog_166,0.089499,0.093144
hog_167,0.142313,0.113337
hog_168,0.057971,0.08266
hog_169,0.094416,0.098939
hog_170,0.083813,0.094001
hog_171,0.142078,0.114067
hog_172,0.182676,0.1191
hog_173,0.158581,0.120834
hog_174,0.173007,0.12938
hog_175,0.132173,0.13483
hog_176,0.179094,0.140575
hog_177,0.097299,0.113776
hog_178,0.122857,0.111853
hog_179,0.113915,0.105101
hog_180,0.176206,0.117678
hog_181,0.127833,0.102941
hog_182,0.111139,0.100065
hog_183,0.10251,0.094308
hog_184,0.078232,0.084843
hog_185,0.090756,0.099066
hog_186,0.06241,0.082208
hog_187,0.073585,0.086955
hog_188,0.083933,0.090282
hog_189,0.124523,0.105346
hog_190,0.169864,0.105435
hog_191,0.149236,0.109876
hog_192,0.132515,0.114641
hog_193,0.102273,0.106956
hog_194,0.109849,0.112446
hog_195,0.080663,0.095264
hog_196,0.090991,0.093067
hog_197,0.107057,0.095785
hog_198,0.157227,0.103917
hog_199,0.160425,0.124205
hog_200,0.145765,0.116195
hog_201,0.140227,0.110735
hog_202,0.110264,0.09598
hog_203,0.118506,0.102589
hog_204,0.088195,0.091756
hog_205,0.097934,0.096413
hog_206,0.110078,0.104383
hog_207,0.151237,0.124214
hog_208,0.203922,0.119383
hog_209,0.180239,0.122747
hog_210,0.165333,0.12513
hog_211,0.136859,0.118941
hog_212,0.141403,0.118358
hog_213,0.111761,0.103797
hog_214,0.121058,0.099019
hog_215,0.137019,0.103407
hog_216,0.19119,0.117733
hog_217,0.145169,0.10172
hog_218,0.10121,0.094372
hog_219,0.084232,0.089612
hog_220,0.068096,0.079759
hog_221,0.094231,0.102163
hog_222,0.095939,0.108014
hog_223,0.123047,0.11626
hog_224,0.126328,0.10451
