feature,mean,std
mean_intensity,158.772949,25.074245
std_intensity,52.49033,14.055169
p10_intensity,81.510979,37.461235
p50_intensity,171.331711,35.562477
p90_intensity,213.313416,20.44582
grad_mean,70.875732,29.823782
grad_std,107.085403,28.308979
edge_density,0.115886,0.056346
fft_bin_1,0.830465,0.088117
fft_bin_2,0.089771,0.044286
fft_bin_3,0.034426,0.022359
fft_bin_4,0.020964,0.016128
fft_bin_5,0.013511,0.010524
fft_bin_6,0.008613,0.007206
fft_bin_7,0.001851,0.002007
fft_bin_8,0.000397,0.000506
high_freq_energy,0.024371,0.019363
hsv_h_hist_1,0.041336,0.056894
hsv_h_hist_2,0.115139,0.121034
hsv_h_hist_3,0.035947,0.041771
hsv_h_hist_4,0.011596,0.020812
hsv_h_hist_5,0.00463,0.00831
hsv_h_hist_6,0.002583,0.006029
hsv_h_hist_7,0.006828,0.014121
hsv_h_hist_8,0.002761,0.0053
hsv_h_hist_9,0.010797,0.023332
hsv_h_hist_10,0.024108,0.039393
hsv_h_hist_11,0.062892,0.084304
hsv_h_hist_12,0.006,0.020119
hsv_h_hist_13,0.001007,0.003164
hsv_h_hist_14,0.000479,0.000905
hsv_h_hist_15,0.001871,0.005628
hsv_h_hist_16,0.00536,0.015453
hsv_s_hist_1,0.188901,0.110994
hsv_s_hist_2,0.0809,0.090984
hsv_s_hist_3,0.026979,0.039467
hsv_s_hist_4,0.011552,0.017391
hsv_s_hist_5,0.007255,0.010232
hsv_s_hist_6,0.006496,0.011573
hsv_s_hist_7,0.006234,0.01585
hsv_s_hist_8,0.005016,0.016447
hsv_v_hist_1,0.005596,0.011908
hsv_v_hist_2,0.017328,0.021986
hsv_v_hist_3,0.025676,0.021379
hsv_v_hist_4,0.032612,0.022009
hsv_v_hist_5,0.039736,0.028165
hsv_v_hist_6,0.056371,0.043493
hsv_v_hist_7,0.079367,0.060719
hsv_v_hist_8,0.076649,0.061196
b_mean,151.897873,29.644524
g_mean,157.006454,25.4685
r_mean,164.82959,26.005711
b_std,56.352371,16.846237
g_std,52.64463,14.693053
r_std,52.427849,16.087961
h_mean,53.573315,35.561775
s_mean,43.517651,26.491718
v_mean,171.198624,25.640253
h_std,27.559992,17.430052
s_std,34.372566,22.402824
v_std,52.391041,15.38013
hog_1,0.179253,0.090102
hog_2,0.104923,0.084251
hog_3,0.134123,0.081973
hog_4,0.042962,0.065634
hog_5,0.161347,0.094557
hog_6,0.032422,0.053267
hog_7,0.096957,0.074279
hog_8,0.072785,0.074623
hog_9,0.172516,0.087897
hog_10,0.188245,0.083537
hog_11,0.119847,0.089029
hog_12,0.156666,0.096889
hog_13,0.047443,0.072239
hog_14,0.179938,0.102879
hog_15,0.035572,0.063732
hog_16,0.104999,0.080998
hog_17,0.075538,0.076215
hog_18,0.180285,0.081252
hog_19,0.201266,0.088877
hog_20,0.123295,0.092666
hog_21,0.158218,0.089325
hog_22,0.056697,0.071327
hog_23,0.180869,0.097721
hog_24,0.044599,0.06846
hog_25,0.119164,0.086067
hog_26,0.084136,0.078918
hog_27,0.193356,0.091026
hog_28,0.236045,0.098147
hog_29,0.178567,0.125166
hog_30,0.202169,0.113992
hog_31,0.076027,0.101063
hog_32,0.19315,0.102819
hog_33,0.049678,0.07607
hog_34,0.126083,0.088374
hog_35,0.10188,0.08983
hog_36,0.222549,0.092441
hog_37,0.158626,0.099656
hog_38,0.090359,0.086775
hog_39,0.093046,0.081824
hog_40,0.030526,0.052617
hog_41,0.112837,0.101913
hog_42,0.030312,0.056343
hog_43,0.080786,0.084451
hog_44,0.065033,0.073667
hog_45,0.142069,0.094242
hog_46,0.187505,0.099324
hog_47,0.103635,0.095695
hog_48,0.102318,0.089252
hog_49,0.039421,0.06548
