feature,mean,std
mean_intensity,165.812729,19.665936
std_intensity,45.411926,15.249931
p10_intensity,101.027779,38.399979
p50_intensity,172.676773,25.433529
p90_intensity,218.980637,12.807199
grad_mean,78.771927,45.180416
grad_std,98.044518,43.645042
edge_density,0.133137,0.084326
fft_bin_1,0.779268,0.102394
fft_bin_2,0.116115,0.051738
fft_bin_3,0.045978,0.025628
fft_bin_4,0.027473,0.014905
fft_bin_5,0.017392,0.009777
fft_bin_6,0.011048,0.00689
fft_bin_7,0.002226,0.002466
fft_bin_8,0.000496,0.000635
high_freq_energy,0.031162,0.018423
hsv_h_hist_1,0.042767,0.030331
hsv_h_hist_2,0.149914,0.086863
hsv_h_hist_3,0.073866,0.056282
hsv_h_hist_4,0.015195,0.01891
hsv_h_hist_5,0.003283,0.006268
hsv_h_hist_6,0.001871,0.005569
hsv_h_hist_7,0.004016,0.008953
hsv_h_hist_8,0.001765,0.006458
hsv_h_hist_9,0.006577,0.015645
hsv_h_hist_10,0.009427,0.018075
hsv_h_hist_11,0.010794,0.018634
hsv_h_hist_12,0.003346,0.010057
hsv_h_hist_13,0.001039,0.0026
hsv_h_hist_14,0.000708,0.001381
hsv_h_hist_15,0.003246,0.005652
hsv_h_hist_16,0.00552,0.016132
hsv_s_hist_1,0.209653,0.089474
hsv_s_hist_2,0.07082,0.073441
hsv_s_hist_3,0.01906,0.021639
hsv_s_hist_4,0.012332,0.014865
hsv_s_hist_5,0.010281,0.015965
hsv_s_hist_6,0.006656,0.013163
hsv_s_hist_7,0.003109,0.013318
hsv_s_hist_8,0.001422,0.00807
hsv_v_hist_1,0.002103,0.008125
hsv_v_hist_2,0.00954,0.015546
hsv_v_hist_3,0.01534,0.018158
hsv_v_hist_4,0.026888,0.019832
hsv_v_hist_5,0.050608,0.027861
hsv_v_hist_6,0.081624,0.044579
hsv_v_hist_7,0.098849,0.044357
hsv_v_hist_8,0.048382,0.035766
b_mean,155.432541,20.890142
g_mean,164.552017,20.363825
r_mean,172.181946,19.924173
b_std,47.109867,16.261244
g_std,46.371223,16.044458
r_std,44.933846,16.437372
h_mean,33.47456,15.139832
s_mean,36.708115,22.458986
v_mean,174.954132,17.752359
h_std,30.580381,15.473563
s_std,31.537809,20.450956
v_std,42.675392,14.096321
hog_1,0.134228,0.095986
hog_2,0.121273,0.097693
hog_3,0.130121,0.096773
hog_4,0.080055,0.086675
hog_5,0.132493,0.104622
hog_6,0.045459,0.063654
hog_7,0.073822,0.083956
hog_8,0.069174,0.08408
hog_9,0.118892,0.094884
hog_10,0.171667,0.091605
hog_11,0.149314,0.099092
hog_12,0.156002,0.101996
hog_13,0.088877,0.091536
hog_14,0.155125,0.114641
