feature,mean,std
mean_intensity,170.277145,13.873314
std_intensity,36.292831,11.725698
p10_intensity,120.950211,26.4685
p50_intensity,174.115143,18.596302
p90_intensity,211.494812,13.958505
grad_mean,45.265377,17.695456
grad_std,68.721825,24.569736
edge_density,0.085176,0.043075
fft_bin_1,0.846185,0.062433
fft_bin_2,0.084611,0.03197
fft_bin_3,0.030213,0.015023
fft_bin_4,0.018278,0.00978
fft_bin_5,0.011724,0.006492
fft_bin_6,0.007432,0.004627
fft_bin_7,0.001287,0.001362
fft_bin_8,0.000269,0.000296
high_freq_energy,0.020712,0.011906
hsv_h_hist_1,0.01426,0.022109
hsv_h_hist_2,0.093042,0.112157
hsv_h_hist_3,0.030298,0.041375
hsv_h_hist_4,0.008178,0.014927
hsv_h_hist_5,0.003225,0.006803
hsv_h_hist_6,0.00233,0.006058
hsv_h_hist_7,0.005877,0.011219
hsv_h_hist_8,0.001496,0.003031
hsv_h_hist_9,0.007467,0.009539
hsv_h_hist_10,0.035183,0.04402
hsv_h_hist_11,0.12234,0.112844
hsv_h_hist_12,0.004216,0.012568
hsv_h_hist_13,0.000928,0.003612
hsv_h_hist_14,0.00059,0.003018
hsv_h_hist_15,0.001893,0.006883
hsv_h_hist_16,0.002012,0.007161
hsv_s_hist_1,0.254438,0.098621
hsv_s_hist_2,0.04513,0.068255
hsv_s_hist_3,0.014947,0.037288
hsv_s_hist_4,0.005408,0.009233
hsv_s_hist_5,0.004063,0.007779
hsv_s_hist_6,0.003587,0.006939
hsv_s_hist_7,0.002735,0.005234
hsv_s_hist_8,0.003026,0.009807
hsv_v_hist_1,0.001162,0.006905
hsv_v_hist_2,0.00278,0.00998
hsv_v_hist_3,0.006968,0.010097
hsv_v_hist_4,0.020507,0.019227
hsv_v_hist_5,0.058261,0.034785
hsv_v_hist_6,0.099896,0.045562
hsv_v_hist_7,0.094256,0.048707
hsv_v_hist_8,0.049503,0.042858
b_mean,168.980133,21.716249
g_mean,170.092987,14.250428
r_mean,171.086349,13.541701
b_std,38.833748,13.422734
g_std,35.488945,11.636981
r_std,38.264862,14.327696
h_mean,71.353592,38.94025
s_mean,31.181114,19.437143
v_mean,180.373398,13.871154
h_std,22.945698,15.855782
s_std,26.664007,19.810453
v_std,35.659618,11.319112
hog_1,0.168087,0.097487
hog_2,0.102431,0.083771
hog_3,0.122621,0.083272
hog_4,0.056307,0.081632
hog_5,0.152964,0.100434
hog_6,0.039142,0.063458
hog_7,0.090984,0.076127
hog_8,0.077125,0.078589
hog_9,0.164048,0.096878
hog_10,0.175895,0.094761
hog_11,0.121031,0.090074
hog_12,0.154849,0.09861
hog_13,0.072091,0.097772
hog_14,0.176176,0.105428
hog_15,0.043557,0.072631
hog_16,0.098343,0.082325
hog_17,0.080712,0.079609
hog_18,0.167239,0.096088
hog_19,0.188332,0.105949
hog_20,0.120579,0.094096
hog_21,0.143309,0.093992
hog_22,0.06786,0.089112
hog_23,0.170078,0.104164
hog_24,0.052508,0.078928
hog_25,0.110796,0.088229
hog_26,0.094898,0.092116
hog_27,0.184749,0.104927
hog_28,0.222301,0.108872
hog_29,0.17536,0.115671
hog_30,0.190942,0.113881
hog_31,0.10119,0.118081
hog_32,0.186086,0.107393
hog_33,0.062104,0.08657
hog_34,0.122532,0.089459
hog_35,0.110971,0.097534
hog_36,0.211892,0.107959
hog_37,0.154846,0.101216
hog_38,0.101868,0.087739
hog_39,0.109284,0.090711
hog_40,0.050624,0.074772
hog_41,0.105607,0.102907
hog_42,0.031345,0.055094
hog_43,0.064958,0.070929
hog_44,0.065857,0.074926
hog_45,0.145601,0.101234
hog_46,0.186459,0.102679
hog_47,0.121879,0.099349
hog_48,0.120634,0.097795
hog_49,0.061064,0.088873
hog_50,0.114708,0.107413
hog_51,0.040575,0.065938
hog_52,0.07864,0.078264
hog_53,0.084557,0.084909
hog_54,0.179136,0.102899
hog_55,0.219071,0.115433
hog_56,0.170978,0.111631
hog_57,0.15905,0.102014
hog_58,0.081483,0.090709
hog_59,0.116028,0.105321
hog_60,0.051462,0.070733
hog_61,0.091337,0.090359
hog_62,0.108305,0.101943
hog_63,0.208463,0.119045
hog_64,0.24824,0.108704
hog_65,0.185199,0.114097
hog_66,0.168521,0.112267
hog_67,0.096283,0.110193
hog_68,0.134559,0.114743
hog_69,0.06934,0.083747
hog_70,0.118296,0.09656
hog_71,0.142705,0.106984
hog_72,0.241761,0.110117
hog_73,0.16568,0.091398
hog_74,0.079399,0.077213
hog_75,0.084066,0.081732
hog_76,0.043021,0.067134
hog_77,0.111658,0.097762
hog_78,0.044119,0.071582
hog_79,0.097116,0.088253
hog_80,0.104773,0.09598
hog_81,0.176347,0.097062
hog_82,0.16352,0.096603
hog_83,0.080347,0.082316
hog_84,0.08451,0.083493
hog_85,0.041695,0.065999
hog_86,0.126103,0.104813
hog_87,0.04629,0.071448
hog_88,0.108931,0.09231
hog_89,0.106516,0.092543
hog_90,0.175342,0.098799
hog_91,0.235654,0.114212
hog_92,0.128986,0.099368
hog_93,0.105959,0.09146
hog_94,0.06766,0.082616
hog_95,0.118918,0.105566
hog_96,0.079352,0.09936
hog_97,0.139367,0.114033
hog_98,0.178153,0.12393
hog_99,0.248764,0.111734
hog_100,0.221568,0.118476
hog_101,0.12194,0.102918
hog_102,0.107265,0.095097
hog_103,0.064562,0.080522
hog_104,0.126441,0.106534
hog_105,0.082316,0.094353
hog_106,0.151023,0.103662
hog_107,0.18454,0.118926
hog_108,0.241564,0.113307
hog_109,0.148233,0.086161
hog_110,0.08265,0.078911
hog_111,0.104988,0.084561
hog_112,0.046001,0.069978
hog_113,0.188177,0.116514
hog_114,0.058401,0.081623
hog_115,0.133081,0.095634
hog_116,0.10362,0.089763
hog_117,0.150574,0.085633
hog_118,0.162269,0.091543
hog_119,0.091282,0.081571
hog_120,0.119579,0.09113
hog_121,0.047627,0.073227
hog_122,0.194878,0.114824
hog_123,0.062287,0.081577
hog_124,0.131437,0.094842
hog_125,0.100003,0.08546
hog_126,0.16337,0.090805
hog_127,0.182697,0.102626
hog_128,0.106098,0.092755
hog_129,0.125221,0.091513
hog_130,0.061105,0.080791
hog_131,0.200547,0.11587
hog_132,0.090258,0.104469
hog_133,0.174375,0.105936
hog_134,0.14999,0.107627
hog_135,0.191515,0.10098
hog_136,0.184901,0.09717
hog_137,0.103064,0.092074
hog_138,0.13048,0.093806
hog_139,0.060545,0.080297
hog_140,0.204895,0.112539
hog_141,0.079452,0.087487
hog_142,0.172907,0.10487
hog_143,0.135359,0.097445
hog_144,0.189274,0.096343
hog_145,0.133095,0.097706
hog_146,0.133927,0.102349
hog_147,0.127821,0.09422
hog_148,0.091907,0.089729
hog_149,0.110517,0.102747
hog_150,0.057459,0.07978
hog_151,0.068069,0.084079
hog_152,0.06406,0.081573
hog_153,0.103597,0.088232
hog_154,0.174047,0.10306
hog_155,0.176552,0.103435
hog_156,0.166059,0.104813
hog_157,0.123769,0.110125
hog_158,0.134361,0.120711
hog_159,0.078242,0.097948
hog_160,0.085317,0.094364
hog_161,0.089423,0.089853
hog_162,0.143503,0.097803
hog_163,0.140901,0.101339
hog_164,0.155578,0.105524
hog_165,0.165339,0.104229
hog_166,0.12878,0.098444
hog_167,0.141746,0.105476
hog_168,0.079125,0.089666
hog_169,0.085456,0.092329
hog_170,0.075296,0.089018
hog_171,0.108744,0.096326
hog_172,0.184465,0.105488
hog_173,0.199648,0.109339
hog_174,0.204512,0.11122
hog_175,0.176883,0.119093
hog_176,0.177508,0.117925
hog_177,0.114393,0.107808
hog_178,0.111252,0.099984
hog_179,0.103688,0.09275
hog_180,0.147629,0.101876
hog_181,0.155144,0.10005
hog_182,0.134209,0.093569
hog_183,0.111992,0.089202
hog_184,0.091525,0.084977
hog_185,0.095602,0.098312
hog_186,0.073387,0.078117
hog_187,0.075885,0.078262
hog_188,0.090681,0.082247
hog_189,0.137033,0.099677
hog_190,0.185849,0.096212
hog_191,0.15489,0.095327
hog_192,0.126298,0.093364
hog_193,0.105285,0.0933
hog_194,0.1058,0.101021
hog_195,0.092618,0.088987
hog_196,0.100196,0.087542
hog_197,0.125964,0.091026
hog_198,0.178062,0.097189
hog_199,0.172046,0.106548
hog_200,0.157782,0.098703
hog_201,0.143611,0.094324
hog_202,0.126306,0.089552
hog_203,0.130348,0.09792
hog_204,0.105526,0.085902
hog_205,0.103556,0.085975
hog_206,0.119662,0.094175
hog_207,0.153353,0.104471
hog_208,0.20605,0.100507
hog_209,0.178652,0.099369
hog_210,0.15519,0.098447
hog_211,0.141302,0.098739
hog_212,0.142399,0.102536
hog_213,0.129724,0.090691
hog_214,0.135621,0.089435
hog_215,0.156309,0.093137
hog_216,0.198148,0.098453
hog_217,0.152866,0.093133
hog_218,0.107364,0.086157
hog_219,0.088504,0.083907
hog_220,0.076876,0.077076
hog_221,0.088459,0.085884
hog_222,0.09342,0.090683
hog_223,0.120618,0.096063
hog_224,0.151064,0.100153
hog_225,0.176599,0.095994
hog_226,0.133956,0.099361
hog_227,0.094244,0.087434
hog_228,0.08547,0.086602
hog_229,0.079303,0.082129
hog_230,0.102433,0.099883
hog_231,0.108647,0.099761
hog_232,0.132685,0.100203
hog_233,0.153293,0.097045
hog_234,0.163317,0.100741
hog_235,0.176325,0.102698
hog_236,0.137178,0.091903
hog_237,0.119886,0.089342
hog_238,0.111493,0.083573
hog_239,0.124559,0.094527
hog_240,0.125531,0.094546
hog_241,0.148236,0.099191
hog_242,0.175858,0.102564
hog_243,0.1951,0.107888
hog_244,0.15935,0.107262
hog_245,0.12358,0.097023
hog_246,0.113669,0.093543
hog_247,0.111727,0.088998
hog_248,0.139962,0.10126
hog_249,0.142655,0.100269
hog_250,0.167147,0.099018
hog_251,0.18618,0.104511
hog_252,0.188731,0.112994
hog_253,0.110856,0.095325
hog_254,0.067609,0.079497
hog_255,0.079439,0.092225
hog_256,0.074893,0.099876
hog_257,0.137672,0.130493
hog_258,0.118592,0.11686
hog_259,0.154143,0.113291
hog_260,0.15646,0.109369
hog_261,0.15303,0.106873
hog_262,0.115595,0.096674
hog_263,0.064309,0.079241
hog_264,0.072496,0.086961
hog_265,0.054673,0.082094
hog_266,0.115672,0.11259
hog_267,0.083735,0.094949
hog_268,0.126811,0.099526
hog_269,0.1316,0.104184
hog_270,0.147964,0.104461
hog_271,0.139559,0.110681
hog_272,0.090488,0.092802
hog_273,0.099393,0.102669
hog_274,0.099661,0.108027
hog_275,0.161053,0.127354
hog_276,0.148439,0.120069
hog_277,0.182068,0.11992
hog_278,0.183004,0.127401
hog_279,0.182431,0.123745
hog_280,0.139009,0.1103
hog_281,0.082066,0.091495
hog_282,0.085881,0.095428
hog_283,0.067615,0.087795
hog_284,0.134948,0.115872
hog_285,0.115241,0.105426
hog_286,0.161789,0.113806
hog_287,0.172372,0.123379
hog_288,0.180737,0.12147
hog_289,0.113103,0.095609
hog_290,0.118179,0.096911
hog_291,0.139515,0.099657
hog_292,0.123478,0.100707
hog_293,0.137588,0.104095
hog_294,0.087163,0.092242
hog_295,0.094745,0.096203
hog_296,0.086183,0.096474
hog_297,0.103613,0.097265
hog_298,0.140497,0.098359
hog_299,0.146013,0.096525
hog_300,0.165515,0.101245
hog_301,0.152872,0.109685
hog_302,0.174867,0.113583
hog_303,0.125477,0.111142
hog_304,0.134848,0.112577
hog_305,0.125094,0.110355
hog_306,0.134521,0.104859
hog_307,0.118603,0.096807
hog_308,0.119893,0.09967
hog_309,0.139081,0.102701
hog_310,0.121661,0.102803
hog_311,0.134116,0.106685
hog_312,0.09244,0.092232
hog_313,0.106624,0.100423
hog_314,0.093038,0.09445
hog_315,0.110345,0.098411
hog_316,0.145591,0.099465
hog_317,0.141802,0.102489
hog_318,0.152851,0.102329
hog_319,0.14571,0.112763
hog_320,0.166275,0.114917
hog_321,0.127928,0.108099
hog_322,0.144561,0.108443
hog_323,0.136207,0.108565
hog_324,0.145766,0.102623
hog_325,0.131189,0.093461
hog_326,0.114954,0.083073
hog_327,0.113137,0.084661
hog_328,0.111745,0.084562
hog_329,0.133782,0.088576
hog_330,0.123506,0.087837
hog_331,0.13653,0.097156
hog_332,0.132892,0.098317
hog_333,0.136342,0.09675
hog_334,0.164651,0.09298
hog_335,0.143928,0.086173
hog_336,0.133952,0.085347
hog_337,0.133192,0.090994
hog_338,0.151581,0.098511
hog_339,0.143857,0.099998
hog_340,0.158704,0.101893
hog_341,0.159993,0.097534
hog_342,0.171997,0.095181
hog_343,0.130114,0.095336
hog_344,0.109396,0.08764
hog_345,0.107159,0.087989
hog_346,0.102125,0.083387
hog_347,0.126956,0.091229
hog_348,0.113794,0.084316
hog_349,0.135269,0.089712
hog_350,0.141174,0.095576
hog_351,0.143122,0.095523
hog_352,0.163185,0.094971
hog_353,0.135866,0.092246
hog_354,0.126294,0.091613
hog_355,0.119163,0.090542
hog_356,0.139829,0.096754
hog_357,0.134299,0.096475
hog_358,0.160843,0.098764
