feature,mean,std
mean_intensity,167.98111,17.337343
std_intensity,42.414181,12.884008
p10_intensity,105.054741,25.838045
p50_intensity,181.751831,25.152678
p90_intensity,208.872269,21.504967
grad_mean,47.807137,20.645077
grad_std,77.358925,26.765337
edge_density,0.078326,0.042221
fft_bin_1,0.836983,0.090631
fft_bin_2,0.087218,0.042524
fft_bin_3,0.032872,0.022518
fft_bin_4,0.020307,0.016198
fft_bin_5,0.012715,0.008958
fft_bin_6,0.007954,0.006203
fft_bin_7,0.001596,0.002164
fft_bin_8,0.000351,0.000522
high_freq_energy,0.022616,0.017032
hsv_h_hist_1,0.017088,0.02406
hsv_h_hist_2,0.281891,0.055962
hsv_h_hist_3,0.019228,0.02723
hsv_h_hist_4,0.002481,0.005435
hsv_h_hist_5,0.000838,0.00273
hsv_h_hist_6,0.000527,0.002367
hsv_h_hist_7,0.000814,0.003308
hsv_h_hist_8,0.000475,0.002164
hsv_h_hist_9,0.001294,0.00376
hsv_h_hist_10,0.005598,0.026879
hsv_h_hist_11,0.00167,0.004724
hsv_h_hist_12,0.000248,0.000695
hsv_h_hist_13,0.000135,0.000325
hsv_h_hist_14,0.000101,0.000213
hsv_h_hist_15,0.000266,0.000909
hsv_h_hist_16,0.000679,0.002424
hsv_s_hist_1,0.08162,0.093819
hsv_s_hist_2,0.196185,0.107967
hsv_s_hist_3,0.025811,0.029315
hsv_s_hist_4,0.01406,0.021003
hsv_s_hist_5,0.007593,0.015829
hsv_s_hist_6,0.003878,0.006166
hsv_s_hist_7,0.002537,0.004621
hsv_s_hist_8,0.001648,0.00339
hsv_v_hist_1,0.000481,0.001605
hsv_v_hist_2,0.003662,0.006932
hsv_v_hist_3,0.015769,0.014942
hsv_v_hist_4,0.033876,0.02515
hsv_v_hist_5,0.047016,0.036363
hsv_v_hist_6,0.066843,0.057482
hsv_v_hist_7,0.097841,0.073494
hsv_v_hist_8,0.067844,0.059028
b_mean,149.048386,18.912663
g_mean,166.114182,17.627546
r_mean,178.806061,17.186747
b_std,44.405449,13.60893
g_std,42.494858,12.956053
r_std,42.737137,13.535268
h_mean,20.481401,9.1386
s_mean,49.414234,13.395973
v_mean,179.851227,17.228245
h_std,10.626846,11.107724
s_std,28.648956,14.890023
v_std,41.423145,13.000895
hog_1,0.185087,0.075676
hog_2,0.106769,0.084438
hog_3,0.132957,0.086702
hog_4,0.027882,0.048225
hog_5,0.16842,0.100747
hog_6,0.027267,0.049103
hog_7,0.098256,0.072657
hog_8,0.078075,0.080631
hog_9,0.182747,0.080357
hog_10,0.20157,0.080028
hog_11,0.107001,0.077922
hog_12,0.145754,0.089456
hog_13,0.043568,0.069326
hog_14,0.199434,0.10832
hog_15,0.031322,0.051607
hog_16,0.123099,0.08643
hog_17,0.091395,0.086474
hog_18,0.200116,0.077281
hog_19,0.197284,0.080034
hog_20,0.11263,0.083637
hog_21,0.151484,0.091659
hog_22,0.03538,0.05398
