class_id,class_name,n_objects,hsv_h_hist_1,hsv_h_hist_2,hsv_h_hist_3,hsv_h_hist_4,hsv_h_hist_5,hsv_h_hist_6,hsv_h_hist_7,hsv_h_hist_8,hsv_h_hist_9,hsv_h_hist_10,hsv_h_hist_11,hsv_h_hist_12,hsv_h_hist_13,hsv_h_hist_14,hsv_h_hist_15,hsv_h_hist_16,hsv_s_hist_1,hsv_s_hist_2,hsv_s_hist_3,hsv_s_hist_4,hsv_s_hist_5,hsv_s_hist_6,hsv_s_hist_7,hsv_s_hist_8,hsv_v_hist_1,hsv_v_hist_2,hsv_v_hist_3,hsv_v_hist_4,hsv_v_hist_5,hsv_v_hist_6,hsv_v_hist_7,hsv_v_hist_8,b_mean,g_mean,r_mean,b_std,g_std,r_std,h_mean,s_mean,v_mean,h_std,s_std,v_std
0,Aluminium foil,30,0.037362,0.12618,0.017413,0.01024,0.014122,0.008708,0.006125,0.003809,0.009698,0.018639,0.020611,0.004384,0.004324,0.01011,0.016425,0.025184,0.082701,0.111163,0.050119,0.03868,0.035398,0.006622,0.004007,0.004644,0.023408,0.031304,0.035851,0.041838,0.060186,0.058697,0.043837,0.038213,114.1838,121.493095,132.383347,39.151451,40.258957,42.282104,60.537956,67.812386,139.78241,30.339397,29.956648,42.229446
1,Other plastic bottle,30,0.054142,0.154454,0.034272,0.007213,0.002878,0.003638,0.003562,0.003819,0.013726,0.022135,0.008219,0.002924,0.002184,0.002946,0.004066,0.013154,0.089597,0.096148,0.04885,0.029861,0.025963,0.017331,0.015652,0.009931,0.009323,0.030024,0.033493,0.056074,0.057709,0.045076,0.047995,0.053638,114.692703,128.882996,143.547333,48.55397,47.722069,48.429543,41.281639,75.481674,149.341995,31.473986,37.872044,47.506084
2,Clear plastic bottle,30,0.050871,0.089912,0.021346,0.021628,0.016249,0.00488,0.006657,0.007487,0.025616,0.043837,0.015492,0.006242,0.008504,0.004503,0.003171,0.006939,0.100708,0.078657,0.046427,0.030751,0.05491,0.012033,0.006917,0.00293,0.010384,0.02825,0.034345,0.048283,0.078741,0.059991,0.043281,0.030059,117.094223,125.415161,130.555725,38.236443,35.799454,36.056984,56.211971,72.822731,143.167679,26.735039,29.811867,37.650234
3,Glass bottle,30,0.064336,0.087212,0.030569,0.024769,0.017017,0.004243,0.004028,0.002623,0.011247,0.042928,0.016257,0.002721,0.002553,0.002751,0.006201,0.013878,0.104142,0.078803,0.057517,0.024593,0.019005,0.021113,0.024563,0.003597,0.02156,0.044347,0.050388,0.05963,0.077987,0.034701,0.026283,0.018438,94.276833,105.496628,111.759323,42.73518,40.538639,41.501789,51.947697,74.394897,120.543747,33.725319,34.028992,43.17997
4,Plastic bottle cap,30,0.062147,0.112712,0.031505,0.006768,0.009581,0.001934,0.002653,0.006619,0.026185,0.025301,0.006388,0.003632,0.013845,0.0022,0.00211,0.019751,0.112313,0.06697,0.044865,0.043715,0.027162,0.01413,0.010715,0.013463,0.003296,0.024333,0.03278,0.04222,0.049314,0.081641,0.055726,0.044024,128.72139,133.565125,139.541763,36.077095,33.771557,32.060997,51.79105,75.957436,156.370651,21.686186,27.403465,34.028027
5,Metal bottle cap,30,0.04649,0.100892,0.016585,0.012131,0.006291,0.003472,0.015896,0.014141,0.023844,0.034755,0.007235,0.001552,0.003196,0.002045,0.00338,0.041428,0.095684,0.072626,0.05051,0.028836,0.028483,0.02592,0.020828,0.010447,0.004492,0.026234,0.047144,0.065384,0.05568,0.058355,0.034657,0.041387,110.870201,123.164604,131.065292,41.491463,41.760448,41.256416,63.790024,82.923996,144.239426,28.853418,31.110889,41.802464
6,Broken glass,30,0.153098,0.011914,0.004017,0.011412,0.0088,0.002355,0.002677,0.004742,0.037147,0.014925,0.006171,0.008165,0.009907,0.011057,0.014421,0.032525,0.042074,0.11531,0.098389,0.043031,0.018278,0.009356,0.004435,0.00246,0.019,0.123096,0.063474,0.055827,0.033732,0.017912,0.012983,0.007311,71.583794,73.958031,84.459076,37.290112,36.919449,35.918423,61.951057,73.546501,89.408897,44.994068,31.456171,38.494877
7,Aerosol,6,0.045139,0.214206,0.030043,0.001478,0.000176,0.000244,5.4e-05,4.1e-05,0.000163,0.000882,0.02162,0.001953,0.00651,0.002672,0.003147,0.005005,0.061198,0.084581,0.117472,0.043037,0.011692,0.005303,0.004584,0.005466,0.016534,0.072347,0.026069,0.035116,0.035875,0.036336,0.033583,0.077474,105.213539,119.142006,136.586502,36.43924,42.243435,44.538319,30.977457,73.094765,140.983398,30.116707,30.90904,41.040092
8,Drink can,30,0.065278,0.076761,0.042033,0.013257,0.008968,0.008653,0.008602,0.004104,0.013129,0.028955,0.019189,0.006139,0.004492,0.004742,0.009125,0.019906,0.093891,0.071495,0.05778,0.03336,0.027618,0.024094,0.017163,0.007932,0.012099,0.028825,0.041054,0.05673,0.047534,0.045614,0.043696,0.057783,116.781349,127.295013,135.750519,55.332802,54.363155,54.549175,56.830086,79.21302,147.793121,40.803143,45.915653,53.890568
9,Other carton,30,0.06626,0.128209,0.033586,0.007205,0.007666,0.00411,0.004199,0.002184,0.007492,0.024268,0.015668,0.004221,0.004153,0.005311,0.006681,0.01212,0.141558,0.075605,0.034619,0.031258,0.028573,0.013091,0.006131,0.002498,0.00937,0.02143,0.039217,0.037958,0.068905,0.038892,0.057601,0.059961,127.735939,137.518967,148.965179,43.595798,42.836342,44.043713,45.030338,59.880169,155.466339,34.971653,32.737267,42.555733
