class_id,class_name,n_objects,mean_intensity,std_intensity,p10_intensity,p50_intensity,p90_intensity,grad_mean,grad_std,edge_density
0,Aluminium foil,30,123.935226,40.156845,72.883331,122.25,179.0,110.289429,88.247276,0.225692
1,Other plastic bottle,30,131.665573,46.627674,69.550003,130.733337,192.866669,104.224731,97.365456,0.206405
2,Clear plastic bottle,30,126.012352,35.297894,81.883331,126.349998,170.366669,88.453995,74.957756,0.18291
3,Glass bottle,30,106.103294,40.317932,57.016666,101.566666,161.5,109.587929,93.56501,0.228516
4,Plastic bottle cap,30,134.805359,31.753788,93.466667,136.399994,175.350006,59.456551,58.345161,0.120597
5,Metal bottle cap,30,124.136627,40.630222,72.383331,123.599998,177.800003,101.880028,88.263596,0.173763
6,Broken glass,30,76.847412,36.22979,36.616665,70.48333,130.399994,48.248329,43.394535,0.059432
7,Aerosol,6,122.790245,41.740528,62.083332,129.5,171.666672,64.567467,74.838509,0.109945
8,Drink can,30,128.6306,52.764648,58.683334,127.183334,199.03334,124.305977,112.503304,0.238867
9,Other carton,30,139.835754,41.659386,84.083336,141.933334,195.266663,87.333282,88.103813,0.167
10,Drink carton,30,127.334343,40.364136,73.683334,127.400002,178.100006,98.301094,87.406776,0.200252
11,Corrugated carton,30,124.378441,42.369408,69.166664,126.183334,176.933334,89.691887,99.055984,0.175114
12,Meal carton,21,143.54155,46.088463,81.428574,146.547623,199.857147,118.466484,107.828941,0.256313
13,Paper cup,30,137.786285,38.529114,87.416664,139.550003,184.199997,82.520279,83.417999,0.156405
14,Disposable plastic cup,30,120.11731,38.70512,70.133331,119.166664,172.233337,100.662094,85.068741,0.226587
15,Foam cup,8,144.569427,52.797184,67.25,160.25,203.625,85.158089,102.166382,0.151947
16,Food waste,5,116.480667,47.062496,61.0,116.400002,180.399994,75.330551,84.076202,0.145947
17,Plastic lid,30,131.984467,37.408951,83.533333,134.800003,178.25,91.501442,88.800331,0.18584
18,Metal lid,2,87.928833,41.857399,38.0,91.5,137.0,68.765778,96.405701,0.137451
19,Other plastic,30,122.837151,32.422691,82.283333,123.099998,165.133331,77.440475,64.096344,0.165104
20,Tissues,28,128.156967,44.009552,64.875,135.642853,179.089279,95.963028,95.586044,0.178275
21,Wrapping paper,10,133.416702,44.856358,76.949997,130.100006,194.300003,115.364464,103.548721,0.254736
22,Normal paper,30,130.460693,38.017979,77.849998,132.333328,175.46666,86.411705,82.228355,0.169824
23,Paper bag,20,124.525551,43.878288,68.75,124.574997,180.25,96.829056,91.974602,0.211658
24,Plastic film,30,136.621384,42.776554,79.349998,139.53334,189.433334,113.36657,100.045975,0.223039
25,Garbage bag,23,90.337341,40.308075,43.47826,85.021736,146.304352,83.860207,82.853714,0.174019
26,Other plastic wrapper,30,125.662025,37.629299,78.400002,121.300003,178.100006,91.422279,84.16433,0.163721
27,Single-use carrier bag,30,130.315231,46.481926,69.866669,133.266663,189.266663,100.719078,97.505295,0.193783
28,Crisp packet,28,138.696167,46.070103,82.321426,135.107147,200.821426,103.265129,96.666321,0.209734
29,Spread tub,6,125.279503,35.064453,78.0,125.166664,171.0,85.944366,84.644424,0.19694
30,Disposable food container,21,115.9832,35.63805,70.095238,116.14286,163.928574,85.480522,81.675331,0.17477
31,Foam food container,11,139.533752,50.290371,73.818184,149.27272,201.636368,114.157127,112.821533,0.212069
32,Plastic glooves,3,141.345535,33.336731,95.0,144.0,181.666672,139.689194,90.789604,0.290446
33,Plastic utensils,26,123.208755,47.91555,64.03846,120.230766,189.653839,118.757095,108.034744,0.229483
34,Pop tab,30,125.580582,39.873039,77.316666,120.833336,180.133331,89.148643,91.068138,0.1566
35,Rope & strings,24,123.845146,30.444458,84.916664,122.833336,164.75,84.792091,70.230904,0.200053
36,Scrap metal,13,114.725754,49.525066,43.46154,117.53846,174.692307,168.204483,130.537048,0.3125
37,Squeezable tube,6,132.126297,40.06197,69.0,141.5,175.666672,98.322876,97.230225,0.188517
38,Plastic straw,30,120.127304,43.894234,67.73333,116.099998,181.816666,117.545242,98.792465,0.224577
39,Styrofoam piece,30,138.645538,49.982449,67.816666,145.483337,197.100006,98.25415,103.201546,0.190609
40,Unlabeled litter,30,138.518005,43.767986,79.166664,141.883331,191.266663,94.921555,89.527451,0.186686
41,Cigarette,30,126.973267,36.99213,83.01667,121.833336,177.666672,60.269382,56.03973,0.111987
