class_id,class_name,n_objects,fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,high_freq_energy
0,Aluminium foil,47,0.693168,0.154472,0.067737,0.039785,0.02513,0.015369,0.003516,0.000818,0.044832
1,Other plastic bottle,33,0.718582,0.140521,0.060684,0.036728,0.023305,0.015731,0.003655,0.000789,0.043481
2,Clear plastic bottle,120,0.651458,0.161799,0.07553,0.050098,0.033032,0.022115,0.004907,0.001054,0.061108
3,Glass bottle,81,0.658304,0.159229,0.074284,0.048796,0.032916,0.021127,0.004432,0.000907,0.059381
4,Plastic bottle cap,120,0.733864,0.151996,0.056899,0.030247,0.016593,0.008903,0.001232,0.000266,0.026994
5,Metal bottle cap,65,0.732501,0.144502,0.058743,0.03385,0.017703,0.010265,0.002016,0.000417,0.030402
6,Broken glass,120,0.818948,0.115298,0.031341,0.016801,0.01067,0.006256,0.000572,0.000115,0.017612
7,Aerosol,6,0.737313,0.160274,0.044358,0.025303,0.018426,0.012068,0.001846,0.000402,0.032742
8,Drink can,120,0.686338,0.156747,0.069066,0.041798,0.025568,0.016324,0.003454,0.000701,0.046047
9,Other carton,65,0.685989,0.152452,0.068636,0.043955,0.026887,0.017427,0.003803,0.000847,0.048963
10,Drink carton,35,0.695366,0.144413,0.065144,0.043715,0.028119,0.018625,0.003757,0.000857,0.051358
11,Corrugated carton,51,0.709001,0.140816,0.060689,0.038928,0.027196,0.017702,0.00453,0.00113,0.050557
12,Meal carton,21,0.616587,0.160108,0.088764,0.058977,0.038494,0.028358,0.007342,0.001364,0.075557
13,Paper cup,48,0.726334,0.141339,0.057645,0.034849,0.021977,0.01388,0.003232,0.000739,0.039829
14,Disposable plastic cup,71,0.669616,0.15698,0.075225,0.045394,0.028794,0.018643,0.004397,0.000946,0.05278
15,Foam cup,8,0.784748,0.111568,0.04749,0.027476,0.015303,0.010441,0.00249,0.000481,0.028714
16,Food waste,5,0.818784,0.115165,0.03493,0.014921,0.009375,0.005672,0.000955,0.000195,0.016197
17,Plastic lid,53,0.658189,0.179089,0.072872,0.043388,0.026026,0.016288,0.003421,0.00072,0.046455
18,Metal lid,2,0.807787,0.119756,0.036212,0.017613,0.009927,0.007252,0.00123,0.000222,0.018631
19,Other plastic,120,0.650895,0.176174,0.075832,0.045817,0.028777,0.018459,0.003406,0.000637,0.051278
20,Tissues,28,0.706355,0.155553,0.063652,0.037864,0.021274,0.012713,0.002195,0.00039,0.036573
21,Wrapping paper,10,0.688069,0.159401,0.064273,0.038488,0.026076,0.018209,0.004519,0.000959,0.049763
22,Normal paper,55,0.690684,0.155561,0.066805,0.041018,0.025765,0.016405,0.003123,0.000635,0.045928
23,Paper bag,20,0.70862,0.143863,0.064868,0.037993,0.02432,0.015841,0.003727,0.000761,0.04465
24,Plastic film,120,0.686979,0.151811,0.069731,0.042983,0.02705,0.016716,0.003878,0.000845,0.048489
25,Garbage bag,23,0.722516,0.139222,0.057753,0.036178,0.024055,0.015535,0.003664,0.001065,0.04432
26,Other plastic wrapper,120,0.665438,0.1669,0.07641,0.044569,0.026025,0.016273,0.003662,0.00072,0.04668
27,Single-use carrier bag,40,0.73011,0.131469,0.063367,0.034404,0.022517,0.013981,0.003389,0.000758,0.040645
28,Crisp packet,28,0.701968,0.139741,0.062214,0.039928,0.029084,0.021574,0.00446,0.001018,0.056137
29,Spread tub,6,0.654934,0.128068,0.072756,0.06022,0.045414,0.031384,0.006271,0.000949,0.084018
30,Disposable food container,21,0.680299,0.163059,0.072102,0.040515,0.024779,0.015244,0.003345,0.000648,0.044015
31,Foam food container,11,0.679471,0.152591,0.073352,0.044397,0.029529,0.017688,0.002507,0.000464,0.050188
32,Plastic glooves,3,0.370716,0.251335,0.156211,0.107252,0.061905,0.041229,0.009545,0.0018,0.114481
33,Plastic utensils,26,0.667756,0.166251,0.073183,0.043403,0.02704,0.017419,0.003991,0.000947,0.049397
34,Pop tab,79,0.69527,0.193634,0.059847,0.027458,0.015282,0.00783,0.000578,0.000102,0.023791
35,Rope & strings,24,0.629826,0.171437,0.080235,0.052151,0.034444,0.024238,0.006225,0.001436,0.066343
36,Scrap metal,13,0.51347,0.248202,0.109605,0.061596,0.037449,0.02446,0.004331,0.000877,0.067118
37,Squeezable tube,6,0.639898,0.145523,0.076036,0.059049,0.040036,0.029414,0.008177,0.001848,0.079476
38,Plastic straw,120,0.672465,0.162512,0.070328,0.043714,0.028692,0.01843,0.003125,0.000726,0.050973
39,Styrofoam piece,89,0.736371,0.138718,0.056538,0.032582,0.019989,0.012773,0.002481,0.000543,0.035787
40,Unlabeled litter,120,0.717543,0.153302,0.062004,0.034286,0.019547,0.011182,0.001785,0.000352,0.032865
41,Cigarette,120,0.796791,0.134361,0.036424,0.016364,0.010029,0.005757,0.000232,4.2e-05,0.016059
